invoice_id,vendor_id,vendor_name,department,category,amount,currency,payment_method,invoice_date,payment_hour,approved_by,notes,is_duplicate,is_near_duplicate,is_policy_violation,is_off_hours,is_ghost_vendor,is_fraud_exemplar,fraud_label,embedding_text
44e6e272-8dfb-439b-bc8a-3a65896261d6,282ee935-f62d-4e81-a4ad-33251ee62e18,Taylor-White,Finance,Equipment,7315.83,USD,Corporate Card,2026-06-06,18,Kendra Contreras,Federal professional voice care break blood network.,False,False,False,False,False,False,0,Vendor Taylor-White | dept Finance | Equipment | amount 7315.83 USD | paid via Corporate Card at hour 18 | Federal professional voice care break blood network.
0e081744-7a66-412f-918a-9ee2d561c12f,d78e7543-d307-4e2f-a856-0ebb892c264e,Galloway-Wyatt,Operations,Software,693.1,USD,Corporate Card,2026-01-26,16,Michelle Harris,Measure economy traditional anything plant.,False,False,False,False,False,False,0,Vendor Galloway-Wyatt | dept Operations | Software | amount 693.1 USD | paid via Corporate Card at hour 16 | Measure economy traditional anything plant.
6f288251-5d58-423b-a6b6-eca64372c6aa,7cb55000-a09b-41f7-81fc-9a96003dbc23,Davis-Abbott,Finance,Travel,18257.47,USD,Wire,2026-05-08,10,Gavin Anderson,Claim kind relationship night born.,False,False,False,False,False,False,0,Vendor Davis-Abbott | dept Finance | Travel | amount 18257.47 USD | paid via Wire at hour 10 | Claim kind relationship night born.
a8398846-2d17-4fe9-b376-e8918428ca17,12d06bea-47bc-43fc-8ee8-a8c7ed0d8792,"Stanley, Tucker and Lee",Marketing,Consulting,236528.74,USD,Corporate Card,2026-05-29,15,Brittany Johnson,Old challenge camera final together someone.,False,False,True,False,False,False,1,"Vendor Stanley, Tucker and Lee | dept Marketing | Consulting | amount 236528.74 USD | paid via Corporate Card at hour 15 | Old challenge camera final together someone."
bdbdabca-bcd2-44ef-85ac-5e681112ed38,13bdfae1-aeca-4368-b49f-333ac4ffcfa3,Wilson-Zamora,Sales,Equipment,14747.41,USD,Wire,2026-05-14,17,Christine Wright,Government nice themselves wind.,False,False,False,False,False,False,0,Vendor Wilson-Zamora | dept Sales | Equipment | amount 14747.41 USD | paid via Wire at hour 17 | Government nice themselves wind.
66791bf5-02a2-4628-bc70-a68b1f03c8a9,0b6194a7-6d35-4f80-a251-9f6475f8730a,Anderson Group,IT,Consulting,58690.08,USD,Wire,2026-04-24,10,Cynthia Martin,Thing agent say forward.,False,False,False,False,False,False,0,Vendor Anderson Group | dept IT | Consulting | amount 58690.08 USD | paid via Wire at hour 10 | Thing agent say forward.
67536a6b-68f6-4aac-b822-151a2ec12ee4,d78e7543-d307-4e2f-a856-0ebb892c264e,Galloway-Wyatt,Sales,Software,31896.59,USD,Cheque,2026-05-27,11,Sharon Cochran,City red him although likely.,False,False,False,False,False,False,0,Vendor Galloway-Wyatt | dept Sales | Software | amount 31896.59 USD | paid via Cheque at hour 11 | City red him although likely.
f66090d6-a19e-4b3f-8324-1f889ddf6447,f6d89681-ac67-48a2-9b07-48b7dd1d30c2,Ramos PLC,HR,Travel,42920.46,USD,Cheque,2026-01-13,18,Hannah Hoover,Development process huge everything attorney.,False,False,False,False,False,False,0,Vendor Ramos PLC | dept HR | Travel | amount 42920.46 USD | paid via Cheque at hour 18 | Development process huge everything attorney.
aa459332-5e45-456a-9a7f-a7572237d351,80edbb2e-3c0c-4dc5-88fb-ced4b9a815da,"Vaughn, Marquez and Ross",Operations,Services,7699.75,USD,Wire,2026-04-28,9,Jordan Frazier,Former agree theory end oil worker although.,False,False,False,False,True,False,1,"Vendor Vaughn, Marquez and Ross | dept Operations | Services | amount 7699.75 USD | paid via Wire at hour 9 | Former agree theory end oil worker although."
a25bf202-654b-47f2-b954-954f5b3c39c0,743bbd82-140d-417a-8fad-9f970ce6938e,Ford LLC,Marketing,Consulting,72806.06,USD,ACH,2026-03-27,2,Richard Graham,Break tonight couple and job mind southern.,False,False,True,True,False,False,1,Vendor Ford LLC | dept Marketing | Consulting | amount 72806.06 USD | paid via ACH at hour 2 | Break tonight couple and job mind southern.
405f9548-74f3-467b-9947-25d31d721b7b,635d06bd-4e2a-46e6-bee0-75921ef03e88,Blake and Sons,Marketing,Travel,14661.28,USD,Cheque,2026-04-12,11,Nancy Gonzalez,Attorney professional form finish summer rest.,False,False,False,False,False,False,0,Vendor Blake and Sons | dept Marketing | Travel | amount 14661.28 USD | paid via Cheque at hour 11 | Attorney professional form finish summer rest.
